Plot Title: 9811661-santarosa,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811661, SEN S/N: 9811661)","Temp, °C (LGR S/N: 9811661, SEN S/N: 9811661)",Coupler Detached (LGR S/N: 9811661),End Of File (LGR S/N: 9811661)
410,6/28/2011,18:30:00,109085,14.709,,
411,6/28/2011,18:45:00,109148,14.709,,
412,6/28/2011,19:00:00,109210,14.709,,
413,6/28/2011,19:15:00,109259,14.709,,
414,6/28/2011,19:30:00,109309,14.709,,
415,6/28/2011,19:45:00,109309,14.709,,
416,6/28/2011,20:00:00,109284,14.709,,
417,6/28/2011,20:15:00,109272,14.709,,
418,6/28/2011,20:30:00,109234,14.709,,
419,6/28/2011,20:45:00,109235,14.613,,
420,6/28/2011,21:00:00,109222,14.613,,
421,6/28/2011,21:15:00,109197,14.613,,
422,6/28/2011,21:30:00,109135,14.517,,
423,6/28/2011,21:45:00,109086,14.517,,
424,6/28/2011,22:00:00,108999,14.421,,
425,6/28/2011,22:15:00,108937,14.325,,
426,6/28/2011,22:30:00,108863,14.23,,
427,6/28/2011,22:45:00,108590,14.23,,
428,6/28/2011,23:00:00,108491,14.134,,
429,6/28/2011,23:15:00,108367,14.038,,
430,6/28/2011,23:30:00,107759,13.942,,
431,6/28/2011,23:45:00,108057,13.846,,
432,6/29/2011,0:00:00,108095,13.75,,
433,6/29/2011,0:15:00,108083,13.654,,
434,6/29/2011,0:30:00,108095,13.654,,
435,6/29/2011,0:45:00,108033,13.558,,
436,6/29/2011,1:00:00,107971,13.461,,
437,6/29/2011,1:15:00,107922,13.365,,
438,6/29/2011,1:30:00,107860,13.365,,
439,6/29/2011,1:45:00,107835,13.269,,
440,6/29/2011,2:00:00,107811,13.173,,
441,6/29/2011,2:15:00,107724,13.173,,
442,6/29/2011,2:30:00,107687,13.076,,
443,6/29/2011,2:45:00,107625,12.98,,
444,6/29/2011,3:00:00,107526,12.98,,
445,6/29/2011,3:15:00,107476,12.883,,
446,6/29/2011,3:30:00,107415,12.787,,
447,6/29/2011,3:45:00,107390,12.787,,
448,6/29/2011,4:00:00,107402,12.69,,
449,6/29/2011,4:15:00,107390,12.69,,
450,6/29/2011,4:30:00,107328,12.594,,
451,6/29/2011,4:45:00,107316,12.594,,
452,6/29/2011,5:00:00,107353,12.497,,
453,6/29/2011,5:15:00,107329,12.497,,
454,6/29/2011,5:30:00,107329,12.401,,
455,6/29/2011,5:45:00,107230,12.304,,
456,6/29/2011,6:00:00,107180,12.304,,
457,6/29/2011,6:15:00,107180,12.207,,
458,6/29/2011,6:30:00,107267,12.207,,
459,6/29/2011,6:45:00,107317,12.11,,
460,6/29/2011,7:00:00,107416,12.11,,
461,6/29/2011,7:15:00,107602,12.11,,
462,6/29/2011,7:30:00,107615,12.11,,
463,6/29/2011,7:45:00,107664,12.11,,
464,6/29/2011,8:00:00,107739,12.11,,
465,6/29/2011,8:15:00,107875,12.11,,
466,6/29/2011,8:30:00,108012,12.11,,
467,6/29/2011,8:45:00,108272,12.11,,
468,6/29/2011,9:00:00,108322,12.11,,
469,6/29/2011,9:15:00,108334,12.207,,
470,6/29/2011,9:30:00,108359,12.207,,
471,6/29/2011,9:45:00,108358,12.304,,
472,6/29/2011,10:00:00,108408,12.401,,
473,6/29/2011,10:15:00,108470,12.401,,
474,6/29/2011,10:30:00,108494,12.497,,
475,6/29/2011,10:45:00,108507,12.497,,
476,6/29/2011,11:00:00,108593,12.594,,
477,6/29/2011,11:15:00,108643,12.69,,
478,6/29/2011,11:30:00,108643,12.787,,
479,6/29/2011,11:45:00,108705,12.787,,
480,6/29/2011,12:00:00,108729,12.883,,
481,6/29/2011,12:15:00,108791,12.883,,
482,6/29/2011,12:30:00,108803,12.98,,
483,6/29/2011,12:45:00,108791,13.076,,
