,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter
mm/dd/yyyy HH:MM:SS,%,,,,mg/l,,,,mV,,,,pH,,,,mS/cm,,,,NTU,,,,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code
05/03/2013 11:00:51,88.6,,,1,9.86,,,1,,,,1,7.87,,,1,0.765,,,1,5.2,,,1,10.52,,,1
05/03/2013 11:15:51,89,,,1,9.8,,,1,,,,1,7.88,,,1,0.765,,,1,5.4,,,1,10.97,,,1
05/03/2013 11:30:51,89.3,,,1,9.73,,,1,,,,1,7.89,,,1,0.762,,,1,5.4,,,1,11.45,,,1
05/03/2013 11:45:51,89.6,,,1,9.65,,,1,,,,1,7.9,,,1,0.76,,,1,5.3,,,1,11.96,,,1
05/03/2013 12:00:51,89.8,,,1,9.56,,,1,,,,1,7.9,,,1,0.762,,,1,5.3,,,1,12.45,,,1
05/03/2013 12:15:51,90,,,1,9.48,,,1,,,,1,7.91,,,1,0.762,,,1,5.8,,,1,12.93,,,1
05/03/2013 12:30:51,90.1,,,1,9.4,,,1,,,,1,7.92,,,1,0.759,,,1,5.6,,,1,13.38,,,1
05/03/2013 12:45:50,90.3,,,1,9.32,,,1,,,,1,7.93,,,1,0.761,,,1,5.7,,,1,13.83,,,1
05/03/2013 13:00:50,90.3,,,1,9.23,,,1,,,,1,7.94,,,1,0.761,,,1,5.9,,,1,14.28,,,1
05/03/2013 13:15:50,90.4,,,1,9.15,,,1,,,,1,7.94,,,1,0.762,,,1,5.6,,,1,14.72,,,1
05/03/2013 13:30:50,90.4,,,1,9.06,,,1,,,,1,7.95,,,1,0.764,,,1,9,,,1,15.17,,,1
05/03/2013 13:45:50,90.4,,,1,8.98,,,1,,,,1,7.96,,,1,0.764,,,1,7.2,,,1,15.56,,,1
05/03/2013 14:00:50,90.3,,,1,8.91,,,1,,,,1,7.96,,,1,0.765,,,1,6.7,,,1,15.91,,,1
05/03/2013 14:15:50,90.2,,,1,8.84,,,1,,,,1,7.97,,,1,0.766,,,1,6.1,,,1,16.21,,,1
05/03/2013 14:30:50,90,,,1,8.77,,,1,,,,1,7.97,,,1,0.767,,,1,5.9,,,1,16.51,,,1
05/03/2013 14:45:50,89.8,,,1,8.7,,,1,,,,1,7.97,,,1,0.768,,,1,6.1,,,1,16.76,,,1
05/03/2013 15:00:50,89.5,,,1,8.63,,,1,,,,1,7.98,,,1,0.767,,,1,6.5,,,1,16.98,,,1
05/03/2013 15:15:50,89.2,,,1,8.58,,,1,,,,1,7.98,,,1,0.767,,,1,5.9,,,1,17.16,,,1
05/03/2013 15:30:50,88.9,,,1,8.52,,,1,,,,1,7.98,,,1,0.768,,,1,5.8,,,1,17.28,,,1
05/03/2013 15:45:50,88.5,,,1,8.47,,,1,,,,1,7.98,,,1,0.768,,,1,6.1,,,1,17.38,,,1
05/03/2013 16:00:50,88.1,,,1,8.41,,,1,,,,1,7.98,,,1,0.767,,,1,5.9,,,1,17.48,,,1
05/03/2013 16:15:50,87.6,,,1,8.36,,,1,,,,1,7.98,,,1,0.767,,,1,5.9,,,1,17.54,,,1
05/03/2013 16:30:50,87.2,,,1,8.31,,,1,,,,1,7.97,,,1,0.767,,,1,5.4,,,1,17.57,,,1
05/03/2013 16:45:50,86.7,,,1,8.26,,,1,,,,1,7.97,,,1,0.765,,,1,5.7,,,1,17.56,,,1
05/03/2013 17:00:50,86,,,1,8.21,,,1,,,,1,7.96,,,1,0.765,,,1,6.1,,,1,17.5,,,1
05/03/2013 17:15:50,85.3,,,1,8.16,,,1,,,,1,7.96,,,1,0.763,,,1,5.6,,,1,17.4,,,1
05/03/2013 17:30:50,84.6,,,1,8.11,,,1,,,,1,7.96,,,1,0.761,,,1,6.1,,,1,17.3,,,1
05/03/2013 17:45:50,83.9,,,1,8.06,,,1,,,,1,7.95,,,1,0.763,,,1,6.5,,,1,17.17,,,1
05/03/2013 18:00:50,83,,,1,8.01,,,1,,,,1,7.93,,,1,0.76,,,1,6.4,,,1,16.97,,,1
05/03/2013 18:15:50,82.3,,,1,7.97,,,1,,,,1,7.93,,,1,0.758,,,1,5.9,,,1,16.81,,,1
05/03/2013 18:30:50,81.6,,,1,7.93,,,1,,,,1,7.91,,,1,0.758,,,1,6.5,,,1,16.64,,,1
05/03/2013 18:45:50,80.8,,,1,7.9,,,1,,,,1,7.9,,,1,0.758,,,1,6.4,,,1,16.37,,,1
05/03/2013 19:00:50,80.1,,,1,7.87,,,1,,,,1,7.88,,,1,0.757,,,1,7,,,1,16.07,,,1
05/03/2013 19:15:50,79.8,,,1,7.87,,,1,,,,1,7.87,,,1,0.757,,,1,6.7,,,1,15.93,,,1
05/03/2013 19:30:50,79.7,,,1,7.88,,,1,,,,1,7.87,,,1,0.756,,,1,6.3,,,1,15.81,,,1
05/03/2013 19:45:50,79.7,,,1,7.9,,,1,,,,1,7.87,,,1,0.757,,,1,7.4,,,1,15.71,,,1
05/03/2013 20:00:50,79.5,,,1,7.9,,,1,,,,1,7.86,,,1,0.758,,,1,6.8,,,1,15.56,,,1
05/03/2013 20:15:50,79.4,,,1,7.93,,,1,,,,1,7.86,,,1,0.756,,,1,7.2,,,1,15.37,,,1
05/03/2013 20:30:50,79.3,,,1,7.95,,,1,,,,1,7.86,,,1,0.758,,,1,8.1,,,1,15.18,,,1
